gene1	gene2	correlation	p.adjusted
cusB	multidrug__emrD	0.709255215	6.38E-09
corS	trimethoprim__dfrB6	0.70968304	6.16E-09
aminoglycoside__aadS	tehB	0.709737447	6.14E-09
fpvA	tetracycline__tetA	0.709897023	6.06E-09
aminoglycoside__aadA7	ttgR	0.710039068	5.99E-09
multidrug__PmpM	phoB	0.710098328	5.96E-09
marR	multidrug__qacE	0.710178453	5.92E-09
multidrug__qacE	terW	0.710178453	5.92E-09
multidrug__qacE	yodD	0.710178453	5.92E-09
beta_lactam__imiS	dsbB	0.710508923	5.77E-09
beta_lactam__imiS	fecD	0.710508923	5.77E-09
hupE2	multidrug__qacE	0.710508923	5.77E-09
lde	multidrug__qacE	0.710508923	5.77E-09
emrRsm	rifamycin__rgt1438	0.710508923	5.77E-09
hasF	rifamycin__rgt1438	0.710508923	5.77E-09
kpnF	rifamycin__rgt1438	0.710508923	5.77E-09
mdtA	rifamycin__rgt1438	0.710508923	5.77E-09
dsbB	trimethoprim__dfrA1	0.710508923	5.77E-09
fecD	trimethoprim__dfrA1	0.710508923	5.77E-09
dsbB	vancomycin__vanA	0.710508923	5.77E-09
fecD	vancomycin__vanA	0.710508923	5.77E-09
dsbB	vancomycin__vanD	0.710508923	5.77E-09
fecD	vancomycin__vanD	0.710508923	5.77E-09
rifamycin__rgt1438	ygiW	0.710508923	5.77E-09
baeR	polymyxin__pmrF	0.710515454	5.77E-09
fosfomycin__FosC2	pcm	0.710517054	5.77E-09
beta_lactam__Rm3	cinA	0.710946197	5.58E-09
adeD	chloramphenicol__cmx	0.711030434	5.54E-09
dsbB	multidrug__ParS	0.711065878	5.52E-09
aminoglycoside__aadA7	tehA	0.71132258	5.41E-09
beta_lactam__BcII	emrRsm	0.71150033	5.34E-09
beta_lactam__BcII	hasF	0.71150033	5.34E-09
beta_lactam__BcII	kpnF	0.71150033	5.34E-09
beta_lactam__BcII	mdtA	0.71150033	5.34E-09
cmtR	multidrug__qacE	0.71150033	5.34E-09
gadX	multidrug__qacE	0.71150033	5.34E-09
pcoC	trimethoprim__DfrA43_TMP	0.71150033	5.34E-09
pcoC	vancomycin__vanD	0.71150033	5.34E-09
beta_lactam__BcII	ygiW	0.71150033	5.34E-09
pcm	trimethoprim__dfrA26	0.711543813	5.32E-09
bepF	beta_lactam__imiS	0.7118308	5.20E-09
beta_lactam__BcII	gadX	0.7118308	5.20E-09
czrB	multidrug__mepA	0.7118308	5.20E-09
bepF	trimethoprim__dfrA1	0.7118308	5.20E-09
beta_lactam__imiS	ttgR	0.7118308	5.20E-09
trimethoprim__dfrA1	ttgR	0.7118308	5.20E-09
bepF	vancomycin__vanA	0.7118308	5.20E-09
ttgR	vancomycin__vanA	0.7118308	5.20E-09
bepF	vancomycin__vanD	0.7118308	5.20E-09
ttgR	vancomycin__vanD	0.7118308	5.20E-09
lde	multidrug__ParS	0.711835985	5.20E-09
cueO	fosfomycin__FosB	0.712153518	5.07E-09
lde	multidrug__mepA	0.712161269	5.06E-09
bexA	multidrug__qacE	0.712161269	5.06E-09
beta_lactam__imiS	nccB	0.712161269	5.06E-09
gadX	rifamycin__rgt1438	0.712161269	5.06E-09
nccB	trimethoprim__dfrA1	0.712161269	5.06E-09
nccB	vancomycin__vanA	0.712161269	5.06E-09
nccB	vancomycin__vanD	0.712161269	5.06E-09
aminoglycoside__aadA7	mepC	0.712382078	4.98E-09
aminoglycoside__aadA27	cusS	0.712522928	4.92E-09
multidrug__mepA	smfY	0.712904182	4.77E-09
hmrR	multidrug__tap	0.712919458	4.77E-09
pcoB	vancomycin__vanXO	0.712986784	4.74E-09
acrC	multidrug__qacH	0.713000202	4.74E-09
dsbC	multidrug__mepA	0.713388821	4.59E-09
bleomycin__BLMT	chrI	0.713392298	4.59E-09
chloramphenicol__catIII	chtS	0.713392298	4.59E-09
aminoglycoside__aadA4	cnrY	0.713392298	4.59E-09
aminoglycoside__aadA8b	cnrY	0.713392298	4.59E-09
beta_lactam__blaC	cnrY	0.713392298	4.59E-09
beta_lactam__blaS1	cnrY	0.713392298	4.59E-09
beta_lactam__cphA7	cnrY	0.713392298	4.59E-09
chloramphenicol__catQ	cnrY	0.713392298	4.59E-09
chloramphenicol__cmlA4	cnrY	0.713392298	4.59E-09
chloramphenicol__cmlA5	cnrY	0.713392298	4.59E-09
bleomycin__BLMT	copV	0.713392298	4.59E-09
chloramphenicol__catIII	cueP	0.713392298	4.59E-09
aminoglycoside__aacA43	eefX	0.713392298	4.59E-09
aminoglycoside__aadA11	eefX	0.713392298	4.59E-09
aminoglycoside__aadA2	eefX	0.713392298	4.59E-09
aminoglycoside__aadA25	eefX	0.713392298	4.59E-09
aminoglycoside__aadA3	eefX	0.713392298	4.59E-09
aminoglycoside__aadA8	eefX	0.713392298	4.59E-09
aminoglycoside__aphA15	eefX	0.713392298	4.59E-09
beta_lactam__CfxA2	eefX	0.713392298	4.59E-09
beta_lactam__CfxA3	eefX	0.713392298	4.59E-09
beta_lactam__CfxA5	eefX	0.713392298	4.59E-09
beta_lactam__CfxA6	eefX	0.713392298	4.59E-09
beta_lactam__cepA	eefX	0.713392298	4.59E-09
beta_lactam__cphA5	eefX	0.713392298	4.59E-09
beta_lactam__cphA8	eefX	0.713392298	4.59E-09
beta_lactam__imiH	eefX	0.713392298	4.59E-09
beta_lactam__mreA	eefX	0.713392298	4.59E-09
chloramphenicol__catS	eefX	0.713392298	4.59E-09
chloramphenicol__cmlA1	eefX	0.713392298	4.59E-09
chloramphenicol__cmlA6	eefX	0.713392298	4.59E-09
chloramphenicol__cmlB	eefX	0.713392298	4.59E-09
chloramphenicol__pexA	eefX	0.713392298	4.59E-09
chloramphenicol__catIII	emrK	0.713392298	4.59E-09
chrI	factumycin__facT	0.713392298	4.59E-09
copV	factumycin__facT	0.713392298	4.59E-09
chloramphenicol__catIII	farB	0.713392298	4.59E-09
aminoglycoside__aacA43	farR	0.713392298	4.59E-09
aminoglycoside__aadA11	farR	0.713392298	4.59E-09
aminoglycoside__aadA2	farR	0.713392298	4.59E-09
aminoglycoside__aadA25	farR	0.713392298	4.59E-09
aminoglycoside__aadA3	farR	0.713392298	4.59E-09
aminoglycoside__aadA8	farR	0.713392298	4.59E-09
aminoglycoside__aphA15	farR	0.713392298	4.59E-09
beta_lactam__CfxA2	farR	0.713392298	4.59E-09
beta_lactam__CfxA3	farR	0.713392298	4.59E-09
beta_lactam__CfxA5	farR	0.713392298	4.59E-09
beta_lactam__CfxA6	farR	0.713392298	4.59E-09
beta_lactam__cepA	farR	0.713392298	4.59E-09
beta_lactam__cphA5	farR	0.713392298	4.59E-09
beta_lactam__cphA8	farR	0.713392298	4.59E-09
beta_lactam__imiH	farR	0.713392298	4.59E-09
beta_lactam__mreA	farR	0.713392298	4.59E-09
chloramphenicol__catS	farR	0.713392298	4.59E-09
chloramphenicol__cmlA1	farR	0.713392298	4.59E-09
chloramphenicol__cmlA6	farR	0.713392298	4.59E-09
chloramphenicol__cmlB	farR	0.713392298	4.59E-09
chloramphenicol__pexA	farR	0.713392298	4.59E-09
eefX	fosfomycin__FosA2	0.713392298	4.59E-09
farR	fosfomycin__FosA2	0.713392298	4.59E-09
aminoglycoside__aadA4	hmrM	0.713392298	4.59E-09
aminoglycoside__aadA8b	hmrM	0.713392298	4.59E-09
beta_lactam__blaC	hmrM	0.713392298	4.59E-09
beta_lactam__blaS1	hmrM	0.713392298	4.59E-09
beta_lactam__cphA7	hmrM	0.713392298	4.59E-09
chloramphenicol__catQ	hmrM	0.713392298	4.59E-09
chloramphenicol__cmlA4	hmrM	0.713392298	4.59E-09
chloramphenicol__cmlA5	hmrM	0.713392298	4.59E-09
bleomycin__BLMT	hpcopA	0.713392298	4.59E-09
factumycin__facT	hpcopA	0.713392298	4.59E-09
chloramphenicol__catIII	irlS	0.713392298	4.59E-09
beta_lactam__Bla2	merB2	0.713392298	4.59E-09
aminoglycoside__aadA4	merH	0.713392298	4.59E-09
aminoglycoside__aadA8b	merH	0.713392298	4.59E-09
beta_lactam__blaC	merH	0.713392298	4.59E-09
beta_lactam__blaS1	merH	0.713392298	4.59E-09
beta_lactam__cphA7	merH	0.713392298	4.59E-09
chloramphenicol__catQ	merH	0.713392298	4.59E-09
chloramphenicol__cmlA4	merH	0.713392298	4.59E-09
chloramphenicol__cmlA5	merH	0.713392298	4.59E-09
aminoglycoside__aadA4	mmR	0.713392298	4.59E-09
aminoglycoside__aadA8b	mmR	0.713392298	4.59E-09
beta_lactam__blaC	mmR	0.713392298	4.59E-09
beta_lactam__blaS1	mmR	0.713392298	4.59E-09
beta_lactam__cphA7	mmR	0.713392298	4.59E-09
chloramphenicol__catQ	mmR	0.713392298	4.59E-09
chloramphenicol__cmlA4	mmR	0.713392298	4.59E-09
chloramphenicol__cmlA5	mmR	0.713392298	4.59E-09
aminoglycoside__aacA43	mtrC	0.713392298	4.59E-09
aminoglycoside__aadA11	mtrC	0.713392298	4.59E-09
aminoglycoside__aadA2	mtrC	0.713392298	4.59E-09
aminoglycoside__aadA25	mtrC	0.713392298	4.59E-09
aminoglycoside__aadA3	mtrC	0.713392298	4.59E-09
aminoglycoside__aadA8	mtrC	0.713392298	4.59E-09
aminoglycoside__aphA15	mtrC	0.713392298	4.59E-09
beta_lactam__CfxA2	mtrC	0.713392298	4.59E-09
beta_lactam__CfxA3	mtrC	0.713392298	4.59E-09
beta_lactam__CfxA5	mtrC	0.713392298	4.59E-09
beta_lactam__CfxA6	mtrC	0.713392298	4.59E-09
beta_lactam__cepA	mtrC	0.713392298	4.59E-09
beta_lactam__cphA5	mtrC	0.713392298	4.59E-09
beta_lactam__cphA8	mtrC	0.713392298	4.59E-09
beta_lactam__imiH	mtrC	0.713392298	4.59E-09
beta_lactam__mreA	mtrC	0.713392298	4.59E-09
chloramphenicol__catS	mtrC	0.713392298	4.59E-09
chloramphenicol__cmlA1	mtrC	0.713392298	4.59E-09
chloramphenicol__cmlA6	mtrC	0.713392298	4.59E-09
chloramphenicol__cmlB	mtrC	0.713392298	4.59E-09
chloramphenicol__pexA	mtrC	0.713392298	4.59E-09
fosfomycin__FosA2	mtrC	0.713392298	4.59E-09
eefX	multidrug__hmrM	0.713392298	4.59E-09
farR	multidrug__hmrM	0.713392298	4.59E-09
mtrC	multidrug__hmrM	0.713392298	4.59E-09
eefX	multidrug__hp1181	0.713392298	4.59E-09
farR	multidrug__hp1181	0.713392298	4.59E-09
mtrC	multidrug__hp1181	0.713392298	4.59E-09
merB2	multidrug__mefF	0.713392298	4.59E-09
eefX	multidrug__mefJ	0.713392298	4.59E-09
farR	multidrug__mefJ	0.713392298	4.59E-09
mtrC	multidrug__mefJ	0.713392298	4.59E-09
aminoglycoside__aadA4	mymT	0.713392298	4.59E-09
aminoglycoside__aadA8b	mymT	0.713392298	4.59E-09
beta_lactam__blaC	mymT	0.713392298	4.59E-09
beta_lactam__blaS1	mymT	0.713392298	4.59E-09
beta_lactam__cphA7	mymT	0.713392298	4.59E-09
chloramphenicol__catQ	mymT	0.713392298	4.59E-09
chloramphenicol__cmlA4	mymT	0.713392298	4.59E-09
chloramphenicol__cmlA5	mymT	0.713392298	4.59E-09
bleomycin__BLMT	nccH	0.713392298	4.59E-09
factumycin__facT	nccH	0.713392298	4.59E-09
bleomycin__BLMT	nccY	0.713392298	4.59E-09
factumycin__facT	nccY	0.713392298	4.59E-09
chloramphenicol__catIII	ncrY	0.713392298	4.59E-09
aminoglycoside__aacA43	nirD	0.713392298	4.59E-09
aminoglycoside__aadA11	nirD	0.713392298	4.59E-09
aminoglycoside__aadA2	nirD	0.713392298	4.59E-09
aminoglycoside__aadA25	nirD	0.713392298	4.59E-09
aminoglycoside__aadA3	nirD	0.713392298	4.59E-09
aminoglycoside__aadA8	nirD	0.713392298	4.59E-09
aminoglycoside__aphA15	nirD	0.713392298	4.59E-09
beta_lactam__CfxA2	nirD	0.713392298	4.59E-09
beta_lactam__CfxA3	nirD	0.713392298	4.59E-09
beta_lactam__CfxA5	nirD	0.713392298	4.59E-09
beta_lactam__CfxA6	nirD	0.713392298	4.59E-09
beta_lactam__cepA	nirD	0.713392298	4.59E-09
beta_lactam__cphA5	nirD	0.713392298	4.59E-09
beta_lactam__cphA8	nirD	0.713392298	4.59E-09
beta_lactam__imiH	nirD	0.713392298	4.59E-09
beta_lactam__mreA	nirD	0.713392298	4.59E-09
chloramphenicol__catS	nirD	0.713392298	4.59E-09
chloramphenicol__cmlA1	nirD	0.713392298	4.59E-09
chloramphenicol__cmlA6	nirD	0.713392298	4.59E-09
chloramphenicol__cmlB	nirD	0.713392298	4.59E-09
chloramphenicol__pexA	nirD	0.713392298	4.59E-09
fosfomycin__FosA2	nirD	0.713392298	4.59E-09
multidrug__hmrM	nirD	0.713392298	4.59E-09
multidrug__hp1181	nirD	0.713392298	4.59E-09
multidrug__mefJ	nirD	0.713392298	4.59E-09
aminoglycoside__aacA43	nmtR	0.713392298	4.59E-09
aminoglycoside__aadA11	nmtR	0.713392298	4.59E-09
aminoglycoside__aadA2	nmtR	0.713392298	4.59E-09
aminoglycoside__aadA25	nmtR	0.713392298	4.59E-09
aminoglycoside__aadA3	nmtR	0.713392298	4.59E-09
aminoglycoside__aadA8	nmtR	0.713392298	4.59E-09
aminoglycoside__aphA15	nmtR	0.713392298	4.59E-09
beta_lactam__CfxA2	nmtR	0.713392298	4.59E-09
beta_lactam__CfxA3	nmtR	0.713392298	4.59E-09
beta_lactam__CfxA5	nmtR	0.713392298	4.59E-09
beta_lactam__CfxA6	nmtR	0.713392298	4.59E-09
beta_lactam__cepA	nmtR	0.713392298	4.59E-09
beta_lactam__cphA5	nmtR	0.713392298	4.59E-09
beta_lactam__cphA8	nmtR	0.713392298	4.59E-09
beta_lactam__imiH	nmtR	0.713392298	4.59E-09
beta_lactam__mreA	nmtR	0.713392298	4.59E-09
chloramphenicol__catS	nmtR	0.713392298	4.59E-09
chloramphenicol__cmlA1	nmtR	0.713392298	4.59E-09
chloramphenicol__cmlA6	nmtR	0.713392298	4.59E-09
chloramphenicol__cmlB	nmtR	0.713392298	4.59E-09
chloramphenicol__pexA	nmtR	0.713392298	4.59E-09
fosfomycin__FosA2	nmtR	0.713392298	4.59E-09
multidrug__hmrM	nmtR	0.713392298	4.59E-09
multidrug__hp1181	nmtR	0.713392298	4.59E-09
multidrug__mefJ	nmtR	0.713392298	4.59E-09
chloramphenicol__catIII	pmrG	0.713392298	4.59E-09
aminoglycoside__aadA4	qrg	0.713392298	4.59E-09
aminoglycoside__aadA8b	qrg	0.713392298	4.59E-09
beta_lactam__blaC	qrg	0.713392298	4.59E-09
beta_lactam__blaS1	qrg	0.713392298	4.59E-09
beta_lactam__cphA7	qrg	0.713392298	4.59E-09
chloramphenicol__catQ	qrg	0.713392298	4.59E-09
chloramphenicol__cmlA4	qrg	0.713392298	4.59E-09
